Config,Original_FPS,FPS_single_sc,FPS_multiple_sc,FPS_single_hc,FPS_multiple_hc
t1w2,500,519,541,447,539
t1w2,5000,4310,6333,4694,6081
t1w2,50000,10989,15873,14084,16114
t1w4,500,519,541,447,539
t1w4,5000,4310,6322,4694,6079
t1w4,50000,10989,15873,14084,16114
t1w8,500,519,541,447,539
t1w8,5000,4310,6322,4694,6083
t1w8,50000,10989,15873,13888,16114
t2w2,500,654,676,542,673
t2w2,5000,4115,5330,4504,5172
t2w2,50000,7812,10638,9259,10739
t2w4,500,654,676,541,674
t2w4,5000,4115,5330,4504,5172
t2w4,50000,7812,10638,9259,10739
t2w8,500,654,676,542,673
t2w8,5000,4115,5330,4504,5175
t2w8,50000,6944,10514,8000,10632
